question,ground_truth
Changing your policy,"You can make a temporary or permanent change to the policy at any time during the year.If you do this, you may have to pay an administration fee as well as any additional premium. Please see your car insurance details for more information on the administration fee."
cover for personal belongings in or on the car,The cover for personal belongings in or on the car is £250 to £500.
what are the Essentials?,"According to the provided text, Essentials is a car insurance package that includes coverage for medical expenses in case of an accident, personal injury protection, and coverage for stolen car keys."
When will I get the acknowledgement,If we’ve been unable to resolve your complaint to your satisfaction within 3 working days of receiving your complaint.?
amount provided Theft or attempted theft of your car,"up to £2,000."
amount provided Accidental damage to your car,"The amount provided for accidental damage to your car is between £1,000 and £2,000"
who is your regulator,"U K Insurance Limited is authorised by the Prudential Regulation Authority and regulated by the Financial Conduct Authority and the Prudential Regulation Authority under registration number 202810. The Financial Conduct Authority website, which includes a register of all regulated firms, can be visited at www.fca.org.uk, or the Financial Conduct Authority can be contacted on 0800 111 6768."
How much am I covered for?,"The provided text does not specify the exact amount of coverage for travel expenses related to court appearances abroad. It states that the coverage is up to £250, but it does not elaborate on any specific limitations or deductibles."
Where am I covered?,"England, Scotland, Wales."
What is DriveSure?,"DriveSure is our telematics insurance product. It’s designed to capture how, when and where your car is driven, based on driver-monitoring technology. We use it to understand your driving style and give you feedback. This means we can base your premium on your driving record."
what is the number to claim?,The number to claim is 0345 878 6261
How to make a complaint?,"Please call us on 0800 051 0198 to speak to us about your problem.If you’d prefer to write to us, please send your letter to Customer Relations Manager, Churchill Court, Westmoreland Road, Bromley BR1 1DP"
what is Motor legal helpline?,The motor legal helpline number is 0345 246 2408.
what is courtesy car?,"The courtesy car is a small hatchback, so may not be of a similar size or style to your car."
If you cause an accident what are included?,"If you cause an accident, your insurance will cover:Injuries or deaths of others.Damages to others' property.Accidents caused by a trailer or vehicle you're towing.Accidents involving your car that are caused by electric charging cables."
what are the losses they dont cover?,"Loss of use of a car.Travel costs.Loss of earnings.Loss or damage to a trailer or vehicle being towed.Loss or damage caused by failure or partial failure of a computer or computer system.Loss or partial loss of electronic data.Repair, replacement or restoration of electronic data.A cyber event.Legal costs or expenses."
Is my electric car battery covered?,Your car’s battery is covered if it’s damaged as a result of an insured incident. This cover applies whether your battery is owned or leased.
 what is Certificate of motor insurance?,The Certificate of motor insurance is a document that provides evidence that a policyholder has taken out the insurance they must have by law. It shows who can drive the car and the purposes for which it can be used.
who is covered?, The policyholder. Named as a driver on your certificate of motor insurance and car insurance details.> The registered keeper of your car. A passenger – so long as it’s a motoring offence or a road traffic accident case.
Who is main driver?,"The main driver is the person you declared was the main user of your car, and who’s shown as the main driver on your car insurance details."
People involved in this contract,The people involved in the contract are the policyholder and U K Insurance Limited.
what are terms of appointment?,Aseparatecontract we make with the appointed representative if they’re not a preferred law firm. It sets out: The amounts we will pay the appointed representative. Their responsibilities to report to us.
 If my complaint is to do with your Motor Legal Cover?,"If your complaint relates to Section 7: Motor, you can contact the Financial Ombudsman Service by email, phone, or writing. Their contact information is provided in the text."
what is track day,"Track day When your car is driven on a racing track, on an airfield or at an off-road event."
